contract,label,sector,method,method_name,direction,n_signals,win_rate,avg_return,avg_loss,avg_weeks,reward_risk,horizon
tnote5,5Y T-Note,Fixed Income,B,Hybrid,short,9,0.2222222222222222,-0.005881159085340494,-0.007887142169650823,10.666666666666664,0.1445113686591651,
tnote5,5Y T-Note,Fixed Income,C,Shapiro,long,11,0.2727272727272727,-0.008105493974804735,-0.014379595531468906,19.766233766233768,0.5998390907975659,
tnote5,5Y T-Note,Fixed Income,C,Shapiro,short,6,0.3333333333333333,-0.0065002927733001275,-0.010636064706675274,11.976190476190474,0.16653256089524496,
tnote2,2Y T-Note,Fixed Income,A,Current,long,45,0.5333333333333333,0.0007503137176439751,-0.0023640633751598195,,,3m
tnote2,2Y T-Note,Fixed Income,A,Current,short,30,0.6333333333333333,0.0009288745898061909,-0.006233038084434791,,,3m
tnote2,2Y T-Note,Fixed Income,B,Hybrid,long,8,0.25,-0.0007271696929921218,-0.0021494483282680776,7.107142857142857,1.6467789275436266,
tnote2,2Y T-Note,Fixed Income,B,Hybrid,short,3,0.6666666666666666,-0.001222554991950342,-0.005579741300029362,6.523809523809523,0.17134094766797467,
tnote2,2Y T-Note,Fixed Income,C,Shapiro,long,4,0.0,-0.0023328202441486867,-0.0023328202441486867,9.892857142857142,,
usdx,US Dollar Index,Currencies,A,Current,long,27,0.18518518518518517,-0.011644094928501336,-0.017654353643422452,,,3m
usdx,US Dollar Index,Currencies,A,Current,short,26,0.34615384615384615,-0.020136203734897606,-0.04042550830446183,,,3m
usdx,US Dollar Index,Currencies,B,Hybrid,long,8,0.25,-0.012957710907673683,-0.028099822290595655,14.678571428571429,1.1554743266813723,
usdx,US Dollar Index,Currencies,B,Hybrid,short,18,0.3888888888888889,-0.02412732820399745,-0.05426658345939878,22.420634920634924,0.42815222821798654,
usdx,US Dollar Index,Currencies,C,Shapiro,long,5,0.4,-0.011941276665778443,-0.042633938542477656,20.028571428571432,0.7997787048291972,
usdx,US Dollar Index,Currencies,C,Shapiro,short,10,0.2,-0.020644881072059272,-0.032693129336190674,28.199999999999996,0.8426269538526889,
aud,Australian Dollar,Currencies,A,Current,long,39,0.5128205128205128,-0.0023140290065962344,-0.04184816372543753,,,3m
aud,Australian Dollar,Currencies,A,Current,short,37,0.5945945945945946,0.011239569778408388,-0.02219720030188559,,,3m
aud,Australian Dollar,Currencies,B,Hybrid,long,21,0.6190476190476191,-0.008149938472291654,-0.06143852922041869,20.503401360544213,0.40110075488986024,
aud,Australian Dollar,Currencies,B,Hybrid,short,20,0.95,0.03025083070197914,-0.019999970605929285,11.357142857142858,1.644782903252491,
aud,Australian Dollar,Currencies,C,Shapiro,long,12,0.5833333333333334,0.01035718617222802,-0.04490286356051769,21.988095238095237,1.1096987211047238,
aud,Australian Dollar,Currencies,C,Shapiro,short,12,1.0,0.031704698169670975,0.0,9.428571428571429,,
gbp,British Pound,Currencies,A,Current,long,36,0.4722222222222222,-0.01300737740943504,-0.04811016966885207,,,3m
gbp,British Pound,Currencies,A,Current,short,41,0.5609756097560976,0.00905875091039289,-0.014770709980413584,,,3m
gbp,British Pound,Currencies,B,Hybrid,long,24,0.5416666666666666,-0.0283382656010527,-0.09760808453208926,13.386904761904765,0.3101654771216355,
gbp,British Pound,Currencies,B,Hybrid,short,27,0.8148148148148148,0.019362816217266078,-0.005250718001349153,13.576719576719576,4.753026397635295,
gbp,British Pound,Currencies,C,Shapiro,long,14,0.5714285714285714,-0.03968404714339319,-0.12979436676153686,13.816326530612248,0.2149453267218529,
gbp,British Pound,Currencies,C,Shapiro,short,18,0.8888888888888888,0.02282215011484194,-0.005134409022758635,13.468253968253968,5.125559707142783,
